run_id,timestamp,platform,location_id,location_address,zone_type,zone_label,city,lat,lng,restaurant_name,restaurant_available,restaurant_rating,restaurant_review_count,delivery_fee_mxn,service_fee_mxn,eta_min_min,eta_max_min,price_big_mac,price_combo_big_mac,price_mcnuggets_10,price_whopper,price_combo_whopper,match_big_mac,match_combo_big_mac,match_mcnuggets_10,match_whopper,match_combo_whopper,promotions_count,promotions_values,data_completeness,retry_attempt,errors_count,errors,scrape_duration_seconds
20260413_224545,2026-04-14T03:49:37.157402+00:00,rappi,polanco,"Av. Presidente Masaryk 340, Polanco V Sección, Miguel Hidalgo, CDMX",high_income,Polanco,CDMX,19.4326,-99.1942,Mcdonalds Postres - Juárez,True,4.2,10,0.0,,12,12,,,,,,,,,,,0,,failed,2,3,Product 'Big Mac' not found; Product 'Combo Big Mac Mediano' not found; Product 'McNuggets 10 piezas' not found,60.72
20260413_224545,2026-04-14T03:50:37.881182+00:00,rappi,polanco,"Av. Presidente Masaryk 340, Polanco V Sección, Miguel Hidalgo, CDMX",high_income,Polanco,CDMX,19.4326,-99.1942,Burger King - Juárez,True,3.5,115,0.0,,13,13,,,,319.0,209.0,,,,Family King PlusSabor para compartir en familia: 1 Whopper®,Combo WhopperLa Burger que nunca pasa de moda. Tradicional W,0,,full,1,0,,59.86
20260413_224545,2026-04-14T03:55:40.283467+00:00,rappi,santa_fe,"Av. Santa Fe 440, Santa Fe, Cuajimalpa, CDMX",high_income,Santa Fe,CDMX,19.3592,-99.2741,McDonald's - Juárez,True,3.7,270,0.0,,12,12,145.0,199.0,149.0,,,Big Mac TocinoBig Mac Tocino$ 145.00,Big Mac Tocino + favoritosMcTrío Big Mac Tocino + Hamburgues,Paquete BotaneroDisfruta tus partidos favoritos con 10 McNug,,,0,,full,2,0,,78.09
20260413_224545,2026-04-14T03:56:58.393223+00:00,rappi,santa_fe,"Av. Santa Fe 440, Santa Fe, Cuajimalpa, CDMX",high_income,Santa Fe,CDMX,19.3592,-99.2741,Burger King - Juárez,True,3.5,115,0.0,,13,13,,,,319.0,209.0,,,,Family King PlusSabor para compartir en familia: 1 Whopper®,Combo WhopperLa Burger que nunca pasa de moda. Tradicional W,0,,full,1,0,,60.34
20260413_224545,2026-04-14T03:57:58.764593+00:00,rappi,condesa,"Ámsterdam 240, Hipódromo, Cuauhtémoc, CDMX",high_income,Condesa,CDMX,19.4113,-99.1722,McDonald's - Juárez,True,3.7,270,0.0,,12,12,145.0,199.0,149.0,,,Big Mac TocinoBig Mac Tocino$ 145.00,Big Mac Tocino + favoritosMcTrío Big Mac Tocino + Hamburgues,Paquete BotaneroDisfruta tus partidos favoritos con 10 McNug,,,0,,full,1,0,,78.12
20260413_224545,2026-04-14T03:59:16.898127+00:00,rappi,condesa,"Ámsterdam 240, Hipódromo, Cuauhtémoc, CDMX",high_income,Condesa,CDMX,19.4113,-99.1722,Burger King - Juárez,True,3.5,115,0.0,,13,13,,,,319.0,209.0,,,,Family King PlusSabor para compartir en familia: 1 Whopper®,Combo WhopperLa Burger que nunca pasa de moda. Tradicional W,0,,full,1,0,,59.94
20260413_224545,2026-04-14T04:04:18.519863+00:00,rappi,roma_norte,"Av. Álvaro Obregón 120, Roma Norte, Cuauhtémoc, CDMX",high_income,Roma Norte,CDMX,19.4195,-99.1619,Mcdonalds Postres - Juárez,True,4.2,10,0.0,,12,12,,,,,,,,,,,0,,failed,2,3,Product 'Big Mac' not found; Product 'Combo Big Mac Mediano' not found; Product 'McNuggets 10 piezas' not found,62.11
20260413_224545,2026-04-14T04:05:20.643348+00:00,rappi,roma_norte,"Av. Álvaro Obregón 120, Roma Norte, Cuauhtémoc, CDMX",high_income,Roma Norte,CDMX,19.4195,-99.1619,Burger King - Juárez,True,3.5,115,0.0,,13,13,,,,319.0,209.0,,,,Family King PlusSabor para compartir en familia: 1 Whopper®,Combo WhopperLa Burger que nunca pasa de moda. Tradicional W,0,,full,1,0,,59.05
20260413_224545,2026-04-14T04:10:23.050800+00:00,rappi,lomas,"Blvd. Manuel Ávila Camacho 40, Lomas de Chapultepec, Miguel Hidalgo, CDMX",high_income,Lomas de Chapultepec,CDMX,19.4251,-99.2117,Mcdonalds Postres - Juárez,True,4.2,10,0.0,,12,12,,,,,,,,,,,0,,failed,2,3,Product 'Big Mac' not found; Product 'Combo Big Mac Mediano' not found; Product 'McNuggets 10 piezas' not found,59.72
20260413_224545,2026-04-14T04:11:22.785443+00:00,rappi,lomas,"Blvd. Manuel Ávila Camacho 40, Lomas de Chapultepec, Miguel Hidalgo, CDMX",high_income,Lomas de Chapultepec,CDMX,19.4251,-99.2117,Burger King - Juárez,True,3.5,115,0.0,,13,13,,,,319.0,209.0,,,,Family King PlusSabor para compartir en familia: 1 Whopper®,Combo WhopperLa Burger que nunca pasa de moda. Tradicional W,0,,full,1,0,,60.86
