15:48:49 | asyncio                   | DEBUG   | Using selector: KqueueSelector
15:48:49 | runner                    | INFO    | ============================================================
15:48:49 | runner                    | INFO    | Starting scrape run
15:48:49 | runner                    | INFO    |   Locations:   1
15:48:49 | runner                    | INFO    |   Platforms:   ubereats
15:48:49 | runner                    | INFO    |   Restaurants: McDonald's, Burger King
15:48:49 | runner                    | INFO    |   Total combinations: 2
15:48:49 | runner                    | INFO    | ============================================================
15:48:49 | runner                    | INFO    | 
────────────────────────────────────────
15:48:49 | runner                    | INFO    | Platform: UBEREATS
15:48:49 | runner                    | INFO    | ────────────────────────────────────────
15:48:49 | scraper.ubereats          | INFO    | Starting Uber Eats browser
15:48:49 | scraper.anti_detection    | INFO    | Stealth browser ready — UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36...
15:48:49 | scraper.ubereats          | INFO    | Uber Eats browser ready
15:48:49 | runner                    | INFO    | 
📍 Location: Polanco V Sección, Miguel Hidalgo (high_income)
15:48:49 | runner                    | INFO    |   🏪 McDonald's — 3 products
15:48:49 | scraper.ubereats          | INFO    | Setting location: Polanco V Sección, Miguel Hidalgo
15:48:49 | scraper.ubereats          | INFO    | Navigating to https://www.ubereats.com/mx/feed
15:48:53 | scraper.anti_detection    | DEBUG   | Waiting 2.4s
15:49:00 | scraper.ubereats          | DEBUG   | Found address input with selector: input[placeholder*="dirección"]
15:49:07 | scraper.anti_detection    | DEBUG   | Waiting 2.1s
15:49:09 | scraper.anti_detection    | DEBUG   | Waiting 3.0s
15:49:12 | scraper.ubereats          | INFO    | Location set: Polanco V Sección, Miguel Hidalgo
15:49:12 | scraper.ubereats          | INFO    | Searching for: McDonald's
15:49:12 | scraper.ubereats          | INFO    | Searching: https://www.ubereats.com/mx/search?q=McDonald's
15:49:14 | scraper.anti_detection    | DEBUG   | Waiting 4.0s
15:49:19 | scraper.ubereats          | INFO    | Found 79 store cards
15:49:19 | scraper.ubereats          | INFO    | Matched restaurant card: Pollos de McDonald's Antara
15:49:21 | scraper.anti_detection    | DEBUG   | Waiting 2.1s
15:49:24 | scraper.ubereats          | INFO    | Restaurant info: name=Pollos de McDonald's Antara, rating=4.7, reviews=200
15:49:24 | scraper.ubereats          | INFO    | Extracting delivery info
15:49:24 | scraper.ubereats          | INFO    | Delivery info: fee=0.0, time=22-41 min
15:49:24 | scraper.ubereats          | INFO    | Looking for product: Big Mac
15:49:24 | scraper.ubereats          | DEBUG   | Found 42 items with 'li[data-testid^="store-item-"]'
15:49:24 | scraper.ubereats          | WARNING | Product 'Big Mac' not found in menu items
15:49:24 | scraper.ubereats          | INFO    | Looking for product: Combo Big Mac Mediano
15:49:24 | scraper.ubereats          | DEBUG   | Found 42 items with 'li[data-testid^="store-item-"]'
15:49:24 | scraper.ubereats          | WARNING | Product 'Combo Big Mac Mediano' not found in menu items
15:49:24 | scraper.ubereats          | INFO    | Looking for product: McNuggets 10 piezas
15:49:24 | scraper.ubereats          | DEBUG   | Found 42 items with 'li[data-testid^="store-item-"]'
15:49:24 | scraper.ubereats          | INFO    | Product match: 'McTrio mediano McNuggets 10 pzas' → $129.0 (looking for McNuggets 10 piezas)
15:49:24 | scraper.ubereats          | INFO    | Extracting promotions
15:49:24 | scraper.ubereats          | INFO    | Found 4 promotions
15:49:24 | scraper.ubereats          | INFO    | Screenshot saved: /Users/gabrielpadilla/Desktop/rappi-competitive-intelligence/data/screenshots/ubereats/polanco_mcdonalds_20260410_154924.png
15:49:24 | runner                    | INFO    |   ⚠️ partial (34.7s) → ubereats_polanco_Pollos_de_McDonald_s_Antara_54604f64.json
15:49:24 | scraper.anti_detection    | DEBUG   | Waiting 3.5s
15:49:28 | runner                    | INFO    |   🏪 Burger King — 2 products
